slotname,platform,imageid,imagename,validfrom,validto
hero,ajio,birch,birch.png,20-Jul-17 10:00:00,20-Aug-17 00:00:00
hero,ajio,vougue,vougue.png,20-Jul-17  10:00:00,20-Aug-17 00:00:00
hero,ajio,prada,prada.png,20-Jul-17 10:00:00,20-Aug-17 00:00:00
hero,ajio,chloe,chloe.png,20-Jul-17  10:00:00,15-Aug-17 00:00:00
hero,ajio,zara,zara.png,20-Jul-17  10:00:00,15-Aug-17 00:00:00
hero,ajio,armani,armani.png,20-Jul-17  10:00:00,20-Aug-17 00:00:00
hero,ajio,diesel,diesel.png,20-Jul-17  10:00:00,22-Aug-17 00:00:00
hero,ajio,doir,doir.png,20-Jul-17  10:00:00,21-Aug-17 00:00:00
hero,ajio,espirit,espirit.png,20-Jul-17  10:00:00,20-Aug-17 00:00:00
hero,ajio,boss,boss.png,20-Jul-17  10:00:00,20-Aug-17 00:00:00
